test_id,level_id,filename,seed,number_of_agents,number_of_airports,number_of_initial_cargo,max_cargo_per_episode,avg_working_capacity,avg_processing_time,soft_deadline_multiplier,hard_deadline_multiplier,min_degree,max_degree,avg_degree,malfunction_rate,malfunction_max_steps,malfunction_min_steps,max_soft_deadline,max_hard_deadline,REWARD_CARGO_MISSED_PENALTY,REWARD_CARGO_LATE_PENALTY,REWARD_MOVEMENT_PENALTY,random_solution_seed,random_score,random_missed_deliveries,random_total_lateness,random_total_cost,random_total_steps,random_total_cargo_generated,random_total_scaled_cost,random_total_scaled_lateness,baseline_solution_seed,baseline_score,baseline_missed_deliveries,baseline_total_lateness,baseline_total_cost,baseline_total_steps,baseline_total_cargo_generated,baseline_total_scaled_cost,baseline_total_scaled_lateness
0,0,Test_0/Level_0.pkl,2048,24,12,72,72,11.25,10.0,5,6,2,18,6.333333333333333,0.0,0,0,3006,3122,10,1,0.01,2048,763.801579986732,64,7033,851.2766399210291,3123,72,1899.8724061753383,104.80285592497869,2048,2.2232041666388436,0,0,230.73701711660183,2801,72,222.32041666388437,0.0
0,1,Test_0/Level_1.pkl,2049,24,12,72,72,11.666666666666666,10.0,5,6,2,14,6.0,0.0,0,0,2952,3044,10,1,0.01,2049,811.8653547230278,64,11151,927.2271866588811,3045,72,1625.0904595150553,155.61445012787723,2049,1.6296192009389123,0,0,226.64444297055167,2662,72,162.96192009389122,0.0
0,2,Test_0/Level_2.pkl,2050,24,12,72,72,10.583333333333334,10.0,5,6,0,14,6.0,0.0,0,0,2942,3034,10,1,0.01,2050,719.9301435005765,70,32,850.7829583452875,3035,72,1920.287077330374,0.7272727272727273,2050,1.1937737595115792,0,0,219.74643977219557,2638,72,119.37737595115792,0.0
0,3,Test_0/Level_3.pkl,2051,24,12,72,72,12.166666666666666,10.0,5,6,0,16,6,0.0,0,0,2912,3004,10,1,0.01,2051,750.7799331473478,66,5206,1483.700613753253,3005,72,1355.8453646456494,77.22147950089126,2051,13.016740947037563,1,0,313.0782007394938,2670,72,301.6740947037564,0.0
0,4,Test_0/Level_4.pkl,2052,24,12,72,72,11.666666666666666,10.0,5,6,0,16,6.0,0.0,0,0,2918,3006,10,1,0.01,2052,790.6492160102031,62,10666,1420.5905819274678,3007,72,2272.060751476269,147.92860849544033,2052,4.633228465833246,0,86,247.52401408681024,2730,72,369.84458571375933,0.9347826086956522
0,5,Test_0/Level_5.pkl,2053,24,12,72,72,13.0,10.0,5,6,0,16,6,0.0,0,0,2800,2869,10,1,0.01,2053,723.7073369136772,66,2904,1313.1829077994787,2870,72,1670.535278669314,47.00198412698413,2053,1.7235978347391734,0,0,232.2598378278992,2654,72,172.35978347391733,0.0
0,6,Test_0/Level_6.pkl,2054,24,12,72,72,11.0,10.0,5,6,0,16,6.0,0.0,0,0,2904,3018,10,1,0.01,2054,751.677521765107,67,5828,861.6460440446469,3019,72,953.3964342137801,72.1435574229692,2054,2.3678363994329352,0,0,228.42478513082267,2699,72,236.7836399432935,0.0
0,7,Test_0/Level_7.pkl,2055,24,12,72,72,10.916666666666666,10.0,5,6,0,12,6,0.0,0,0,2919,3009,10,1,0.01,2055,727.532690208791,71,307,605.2290715849728,3010,72,1412.1579097679896,3.411111111111111,2055,1.6179895005451874,0,0,267.2220388566905,2743,72,161.79895005451874,0.0
0,8,Test_0/Level_8.pkl,2056,24,12,72,72,13.416666666666666,10.0,5,6,2,14,6,0.0,0,0,2927,3021,10,1,0.01,2056,729.5742838261142,61,5346,1116.847088592799,3022,72,1724.9283826114186,102.32499999999999,2056,13.37777040567014,1,0,297.432892352049,2734,72,337.7770405670139,0.0
0,9,Test_0/Level_9.pkl,2057,24,12,72,72,9.833333333333334,10.0,5,6,0,16,6.0,0.0,0,0,3056,3176,10,1,0.01,2057,741.5812711283677,71,1298,861.4187740520888,3177,72,1777.2760490069795,13.808510638297872,2057,395.59689477919966,38,1015,292.84998629500456,3177,72,575.1401561599997,9.845493217599639
